a 	啊	c=36 d=1.2806 t=40209
duan yi dian 	短一點	c=1 d=2.4095 t=76495
duan yi xia 	斷一下	c=1 d=2.6763 t=76495
duan zan 	短暫	c=1 d=0.0005 t=76495
duan zi 	段子	c=0 d=0.0065 t=3923
duan zong 	段總	c=3 d=0.0005 t=76495
dui 	兌	c=5 d=0.0088 t=76495
dui 	堆	c=1 d=0.0005 t=76495
dui 	对	c=8 d=3.2035 t=3923
dui 	對	c=101 d=6.5590 t=76495
dui 	怼	c=0 d=0.0027 t=3923
dui 	懟	c=2 d=0.0005 t=76495
dui 	隊	c=0 d=0.0005 t=76495
dui a 	對啊	c=2 d=0.0005 t=76495
dui ban 	對半	c=1 d=2.3383 t=76495
dui bi 	对比	c=1 d=2.0000 t=3801
dui bi 	對比	c=4 d=0.0977 t=76495
dui bian 	對邊	c=1 d=0.0005 t=76495
dui bu 	對不	c=0 d=0.0005 t=76495
dui bu qi 	對不起	c=1 d=0.0005 t=76495
dui bu qi 	對不齊	c=1 d=0.0005 t=76495
dui dao 	懟到	c=2 d=0.0005 t=76495
dui de 	对的	c=15 d=1.4729 t=3923
dui de 	對的	c=18 d=12.0756 t=76495
dui de 	懟得	c=1 d=0.0005 t=76495
dui die 	堆疊	c=1 d=0.0005 t=76495
dui dui dui 	对对对	c=2 d=1.4528 t=40209
dui fang 	对方	c=1 d=0.4288 t=3923
dui fang 	對方	c=22 d=1.4658 t=76495
dui fang na ge 	對方那個	c=1 d=0.0005 t=76495
dui guo 	對過	c=1 d=0.0005 t=76495
dui guo qu 	懟過去	c=1 d=0.0005 t=76495
dui hao 	對號	c=1 d=0.0005 t=76495
dui hao ru zuo 	對號入座	c=1 d=0.0005 t=76495
dui hua 	對話	c=1 d=0.0005 t=76495
dui hui qu 	怼回去	c=1 d=0.0274 t=3923
dui ji 	堆積	c=3 d=0.0005 t=76495
dui jie 	對接	c=14 d=1.4000 t=76495
dui jie ren 	對接人	c=2 d=0.0005 t=76495
dui jie yi xia 	對接一下	c=1 d=0.0005 t=76495
dui ju 	對狙	c=1 d=0.0005 t=76495
dui kang 	對抗	c=1 d=0.0005 t=76495
dui le 	对了	c=0 d=0.0636 t=3923
dui le 	對了	c=3 d=0.6356 t=76495
dui li 	對立	c=2 d=0.0005 t=76495
dui lie 	隊列	c=13 d=0.0005 t=76495
dui ma 	對嗎	c=1 d=0.0005 t=76495
dui mei ge 	對每個	c=1 d=0.0005 t=76495
dui mian 	对面	c=2 d=0.8132 t=3923
dui mian 	對面	c=5 d=0.0005 t=76495
dui nei 	對內	c=1 d=0.0005 t=76495
dui ni 	對你	c=1 d=0.0005 t=76495
dui o 	對哦	c=1 d=0.0005 t=76495
dui pin 	對拼	c=1 d=0.0005 t=76495
dui qi 	堆砌	c=1 d=0.0005 t=76495
dui qi 	對齊	c=3 d=0.0005 t=76495
dui ru 	兑入	c=1 d=0.6238 t=3923
dui shang 	兑上	c=1 d=1.1087 t=3923
dui shi 	对视	c=1 d=2.0000 t=3723
dui ta 	對他	c=3 d=0.0005 t=76495
dui ta 	懟他	c=1 d=0.0005 t=76495
dui tou 	對頭	c=3 d=0.0005 t=76495
dui wai 	對外	c=6 d=0.0005 t=76495
dui xiang 	對象	c=25 d=0.3641 t=76495
dui ya 	对呀	c=3 d=2.3287 t=3923
dui ya 	對呀	c=19 d=0.3668 t=76495
dui yi xia 	对一下	c=4 d=0.0007 t=40209
dui ying 	對應	c=45 d=1.7637 t=76495
dui ying de 	对应的	c=1 d=0.0005 t=76495
dui yu 	对于	c=1 d=2.0000 t=3762
dui yu 	對於	c=11 d=0.0005 t=76495
dui zhan 	堆棧	c=11 d=0.0005 t=76495
dui zhang 	對賬	c=1 d=0.0005 t=76495
dui zheng 	對症	c=1 d=0.0005 t=76495
dui zi ji 	对自己	c=1 d=0.0005 t=76495
duo 	多	c=37 d=5.1044 t=40209
duo ban ben 	多版本	c=1 d=0.0005 t=76495
duo bei fen 	多備份	c=1 d=0.0005 t=76495
duo bu bu 	多補補	c=1 d=0.0005 t=76495
duo bu sui 	剁不碎	c=1 d=2.5205 t=76495
duo ce 	多測	c=1 d=0.0963 t=76495
duo chang 	多長	c=1 d=0.0005 t=76495
duo chi dian 	多吃点	c=3 d=0.0005 t=76495
duo chu 	多出	c=2 d=0.0005 t=76495
duo ci 	多次	c=6 d=0.0005 t=76495
duo da 	多大	c=3 d=0.1533 t=76495
duo da 	多打	c=1 d=0.0005 t=76495
duo da 	多達	c=1 d=0.0005 t=76495
duo da dian shi 	多大點事	c=0 d=0.0005 t=76495
duo da dian shi san dian shui de 	多大點事三点睡的	c=1 d=0.0005 t=76495
duo diao 	多调	c=1 d=0.0512 t=3923
duo duo 	朵朵	c=3 d=3.3871 t=76495
duo fa 	多發	c=5 d=0.1135 t=76495
duo fa sa duo fa sa 	多發颯多發颯	c=1 d=0.0005 t=76495
duo fa shi de fa sheng fa 	多發是的發聲法	c=1 d=0.0005 t=76495
duo ge 	多個	c=24 d=0.0005 t=76495
duo gei 	多給	c=2 d=0.0005 t=76495
duo hang 	多行	c=6 d=0.0005 t=76495
duo he dian 	多喝點	c=1 d=0.0005 t=76495
duo hua 	多花	c=1 d=1.1254 t=3923
duo jie dian 	多節點	c=1 d=0.0005 t=76495
duo jiu 	多久	c=10 d=2.2398 t=40209
duo kai 	多開	c=3 d=3.7979 t=76495
duo kan dian 	多看點	c=1 d=0.0005 t=76495
duo la 	多啦	c=1 d=0.4859 t=3923
duo la 	多拉	c=0 d=0.0488 t=3923
duo la 	朵拉	c=1 d=0.4883 t=3923
duo la gou 	多拉狗	c=1 d=0.4907 t=3923
duo lai 	多來	c=1 d=0.0005 t=76495
duo le 	多了	c=4 d=0.0310 t=40209
duo nian 	多年	c=1 d=0.0005 t=76495
duo nian 	躲年	c=1 d=0.0005 t=76495
duo qi 	多起	c=1 d=0.0005 t=76495
duo quan xian 	多權限	c=2 d=0.0005 t=76495
duo shao 	多少	c=29 d=0.3382 t=76495
duo shao 	多燒	c=3 d=0.0005 t=76495
duo shao ge 	多少個	c=4 d=0.0008 t=76495
duo shao miao 	多少秒	c=7 d=0.0005 t=76495
duo shao miao 	多燒秒	c=1 d=0.0005 t=76495
duo shao qian 	多少钱	c=1 d=0.3390 t=3923
duo shao ren 	多少人	c=2 d=0.0005 t=76495
duo shao tiao 	多少條	c=1 d=0.0005 t=76495
duo shou 	多收	c=1 d=0.0520 t=3923
duo shua 	多刷	c=1 d=0.0005 t=76495
duo tiao 	多條	c=4 d=0.0005 t=76495
duo wan 	多玩	c=1 d=1.2881 t=3923
duo wan 	多萬	c=1 d=0.0005 t=76495
duo wen jian 	多文件	c=1 d=0.0005 t=76495
duo xiang 	多香	c=1 d=0.0005 t=76495
duo xiao shi 	多小時	c=1 d=0.0005 t=76495
duo xuan 	多選	c=3 d=0.0005 t=76495
duo ye mian 	多頁面	c=1 d=0.0005 t=76495
duo yi dian 	多一點	c=2 d=0.0005 t=76495
duo yin zi 	多音字	c=2 d=0.0005 t=76495
duo yong 	多用	c=1 d=0.0005 t=76495
duo yu 	多餘	c=3 d=0.0005 t=76495
duo yun 	多雲	c=2 d=0.0005 t=76495
duo zhang 	多張	c=0 d=0.0005 t=76495
duo zhang hao 	多張好	c=1 d=0.0005 t=76495
duo zui 	多嘴	c=1 d=0.0005 t=76495
e 	屙	c=3 d=3.9926 t=76495
e 	額	c=23 d=3.7808 t=76495
e gao 	惡搞	c=0 d=0.0005 t=76495
e le 	饿了	c=4 d=0.0005 t=76495
e lie 	惡劣	c=1 d=0.0005 t=76495
e meng 	噩夢	c=1 d=0.0005 t=76495
e ren 	惡人	c=1 d=0.0005 t=76495
e shi 	俄式	c=1 d=0.0005 t=76495
e wai 	額外	c=3 d=0.0005 t=76495
e xin 	噁心	c=28 d=2.9101 t=76495
e xin 	恶心	c=3 d=2.0336 t=3923
e yi 	惡意	c=1 d=0.0005 t=76495
ei 	誒	c=3 d=0.0005 t=76495
ei ya 	诶呀	c=4 d=0.0245 t=76495
ei yo 	诶哟	c=1 d=0.0005 t=76495
en 	恩	c=31 d=2.1302 t=40209
en wu 	恩吳	c=1 d=0.0005 t=76495
eng hui 	嗯會	c=1 d=0.0005 t=76495
er 	二	c=5 d=0.0207 t=40209
er 	而	c=18 d=3.7227 t=76495
er 	耳	c=0 d=0.0005 t=76495
er ba zi 	耳巴子	c=1 d=0.0005 t=76495
er bu shi 	而不是	c=15 d=2.1980 t=76495
er ci 	二次	c=2 d=0.0005 t=76495
er ci yuan 	二次元	c=1 d=0.0005 t=76495
er fei 	而非	c=1 d=0.0005 t=76495
er fen zhi yi 	二分之一	c=1 d=0.0005 t=76495
er gui zi 	二鬼子	c=2 d=0.0005 t=76495
er hun 	二婚	c=1 d=0.0005 t=76495
er ji 	耳机	c=5 d=0.9761 t=3923
er ji 	耳機	c=2 d=0.0169 t=76495
er ji neng 	二技能	c=1 d=0.9507 t=76495
er jin zhi 	二進制	c=2 d=0.0005 t=76495
er lie 	二列	c=1 d=0.9945 t=76495
er mao zi 	二毛子	c=1 d=0.0005 t=76495
er mian 	二麪	c=1 d=0.2670 t=76495
er pang feng 	耳旁風	c=1 d=0.0005 t=76495
er qie 	而且	c=20 d=0.0007 t=76495
er ru 	而入	c=2 d=0.0005 t=76495
er shi 	二十	c=1 d=0.0005 t=76495
er shi 	而是	c=6 d=0.0005 t=76495
er shi duo 	二十多	c=1 d=0.0430 t=3923
er shi fen zhong 	二十分钟	c=1 d=0.3846 t=76495
er shi qi 	二十七	c=0 d=0.0005 t=76495
er shi qi ba 	二十七八	c=1 d=0.0005 t=76495
er shi yi 	二十一	c=1 d=0.0005 t=76495
er tai 	二胎	c=1 d=0.0005 t=76495
er wei ma 	二維碼	c=36 d=0.0005 t=76495
er wu fa 	而無法	c=1 d=0.0005 t=76495
er xuan yi 	二選一	c=1 d=0.0106 t=76495
er yi 	而以	c=15 d=4.4568 t=76495
er yi 	而已	c=2 d=1.8573 t=3923
er zhan 	二战	c=1 d=1.5116 t=3923
er zhan 	二戰	c=2 d=0.0005 t=76495
er zhe 	二者	c=1 d=0.0008 t=76495
er zhi hua 	二值化	c=1 d=0.0005 t=76495
er zi 	兒子	c=1 d=0.0062 t=76495
fa 	发	c=6 d=0.0027 t=3923
fa 	法	c=3 d=1.2517 t=40209
fa 	發	c=65 d=4.5677 t=76495
fa ba 	发吧	c=1 d=0.0005 t=76495
fa ban 	发版	c=5 d=0.0538 t=3923
fa ban 	發版	c=50 d=5.1350 t=76495
fa ban le 	发版了	c=1 d=0.0020 t=3923
fa ban le 	發版了	c=3 d=3.5411 t=76495
fa bi 	法幣	c=1 d=0.0005 t=76495
fa bu 	發不	c=0 d=0.0005 t=76495
fa bu 	發佈	c=15 d=0.0005 t=76495
fa bu chu 	發不出	c=2 d=0.0005 t=76495
fa bu chu lai 	發不出來	c=1 d=0.0005 t=76495
fa bu chu qu 	發不出去	c=1 d=0.0005 t=76495
fa bu hui 	發佈會	c=1 d=0.0005 t=76495
fa bu le 	发布了	c=2 d=0.0005 t=76495
fa bu liao 	發不了	c=4 d=0.0005 t=76495
fa bu qian 	發佈前	c=1 d=0.0005 t=76495
fa ce shi 	發測試	c=2 d=0.0655 t=76495
fa ce shi le 	发测试了	c=1 d=0.0002 t=3923
fa che 	發車	c=1 d=0.0005 t=76495
fa chu 	发出	c=0 d=0.0163 t=3923
fa chu 	發出	c=1 d=0.0010 t=76495
fa chu lai 	發出來	c=4 d=0.3010 t=76495
fa chu lai ma 	发出来嘛	c=1 d=0.1634 t=3923
fa chu qu 	發出去	c=1 d=0.0005 t=76495
fa cuo 	發錯	c=4 d=0.0005 t=76495
fa cuo da kai si fa ju kai sa du nai fen kai sa du nai fen 	發錯打開司法局凱撒毒奶粉凱撒毒奶粉	c=1 d=0.0005 t=76495
fa cuo le 	发错了	c=1 d=0.0005 t=76495
fa da 	發達	c=0 d=0.4950 t=76495
fa dao 	發到	c=6 d=0.0005 t=76495
fa de 	发的	c=2 d=0.0003 t=3923
fa de 	發的	c=5 d=0.2095 t=76495
fa de sha 	發的啥	c=1 d=0.0005 t=76495
fa duo le 	發多了	c=1 d=0.0005 t=76495
fa fa 	發發	c=0 d=0.0005 t=76495
fa fa fa 	發發發	c=1 d=0.0005 t=76495
fa fa fa fa fa fa fa fa 	发发发发发发发发	c=0 d=0.0016 t=76495
fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa 	发发发发发发发发发发发发发发发发	c=1 d=0.0162 t=76495
fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa fa feng fu fang fang fang fa fa fa fa fa fa fa fa 	发发发发发发发发发发发发发发发发豐富方芳芳发发发发发发发发	c=1 d=0.0005 t=76495
fa fan fan fu fu 	發反反覆覆	c=1 d=0.0005 t=76495
fa ge 	发个	c=1 d=0.0020 t=3923
fa ge 	發個	c=4 d=0.0005 t=76495
fa ge ban 	發個版	c=1 d=0.0005 t=76495
fa gei 	发给	c=1 d=0.4309 t=3923
fa gei 	發給	c=7 d=1.4765 t=76495
fa gei ni 	發給你	c=3 d=0.2907 t=76495
fa gei shui 	發給誰	c=2 d=0.0005 t=76495
fa gei wo 	发给我	c=4 d=0.0066 t=76495
fa gong gao 	發公告	c=3 d=0.0005 t=76495
fa guo 	法國	c=2 d=0.0005 t=76495
fa guo lai 	发过来	c=2 d=0.5101 t=3923
fa guo lai 	發過來	c=1 d=0.0005 t=76495
fa guo qu 	發過去	c=0 d=0.0005 t=76495
fa guo ren 	法國人	c=2 d=0.0005 t=76495
fa hua 	發話	c=1 d=0.0005 t=76495
fa hui 	發揮	c=0 d=0.0005 t=76495
fa huo 	發火	c=1 d=0.0005 t=76495
fa jia 	发家	c=1 d=0.8463 t=3923
fa lan xi 	法蘭西	c=1 d=0.0005 t=76495
fa le 	发了	c=2 d=0.0494 t=3923
fa le 	發了	c=31 d=5.6084 t=76495
fa le ba 	发了吧	c=1 d=0.4957 t=3923
fa le fa le 	发了发了	c=1 d=0.0002 t=3923
fa le ma 	發了嗎	c=1 d=0.0005 t=76495
fa le ya 	發了呀	c=1 d=0.4865 t=76495
fa li 	發力	c=1 d=0.0005 t=76495
fa lv 	法律	c=1 d=0.0005 t=76495
fa mei wen ti 	發沒問題	c=1 d=0.0005 t=76495
fa ni 	发你	c=4 d=0.0005 t=76495
fa ou 	發嘔	c=0 d=0.0985 t=76495
fa ou shi na ge 	發嘔是哪个	c=3 d=0.9895 t=76495
fa qi 	发起	c=1 d=0.4245 t=3923
fa qi 	發起	c=32 d=1.8302 t=76495
fa qi de 	发起的	c=1 d=0.0005 t=76495
fa qi lai 	發起來	c=1 d=0.0005 t=76495
fa qi le 	發起了	c=1 d=0.0005 t=76495
fa quan 	髮圈	c=1 d=0.0005 t=76495
fa shang lai 	發上來	c=1 d=0.0005 t=76495
fa shang qu 	發上去	c=4 d=0.0005 t=76495
fa shang qu le 	發上去了	c=1 d=0.0014 t=76495
fa shao 	發燒	c=1 d=0.0005 t=76495
fa sheng 	发生	c=0 d=0.0002 t=3923
fa sheng 	發生	c=5 d=0.0005 t=76495
fa sheng de 	發生地	c=0 d=0.0005 t=76495
fa sheng de fa sheng de 	發生地發生地	c=2 d=0.0005 t=76495
fa sheng fa 	發聲法	c=0 d=0.0005 t=76495
fa sheng yi ci 	發生一次	c=1 d=0.0005 t=76495
fa song 	发送	c=23 d=0.7995 t=3923
fa song 	發送	c=339 d=10.3146 t=76495
fa song da fa shi da fu 	發送打發士大夫	c=2 d=0.0005 t=76495
fa song gong gao 	發送公告	c=1 d=0.0005 t=76495
fa song guo 	發送過	c=2 d=0.0272 t=76495
fa song jie guo 	發送結果	c=1 d=0.0005 t=76495
fa song le 	发送了	c=1 d=0.0005 t=76495
fa song zhe 	發送者	c=30 d=0.0006 t=76495
fa song zhong 	发送中	c=7 d=0.0005 t=76495
fa tu pian 	發圖片	c=2 d=0.0005 t=76495
fa wan 	發完	c=9 d=4.7088 t=76495
fa wan ban 	發完版	c=1 d=0.0005 t=76495
fa wan le 	发完了	c=11 d=0.0005 t=76495
fa wo 	发我	c=40 d=1.9809 t=40209
fa xia 	發下	c=1 d=0.0005 t=76495
fa xia 	罰下	c=1 d=0.0005 t=76495
fa xian 	发现	c=0 d=0.0002 t=3923
fa xian 	發現	c=24 d=2.7716 t=76495
fa xian le 	发现了	c=1 d=0.0005 t=76495
fa xiao xi 	发消息	c=1 d=0.0002 t=3923
fa xiao xi 	發消息	c=19 d=0.4667 t=76495
fa xing ban 	发行版	c=1 d=0.0005 t=76495
fa yan 	發言	c=8 d=0.0005 t=76495
fa yi bo 	發一撥	c=1 d=0.0005 t=76495
fa yi ci 	发一次	c=3 d=0.0058 t=40209
fa yi ge 	发一个	c=5 d=0.0015 t=40209
fa yi ge ban 	发一个版	c=1 d=0.0002 t=3923
fa yi tiao 	發一條	c=4 d=0.0005 t=76495
fa yi xia 	发一下	c=10 d=4.7802 t=40209
fa yu 	發育	c=1 d=0.0005 t=76495
fa zhan 	發展	c=3 d=0.0005 t=76495
fa zhe ge 	發這個	c=1 d=0.0005 t=76495
fa zhi qian 	發之前	c=1 d=0.0005 t=76495
fan 	反	c=4 d=0.0098 t=40209
fan 	煩	c=2 d=0.0005 t=76495
fan 	犯	c=1 d=0.0005 t=76495
fan 	翻	c=2 d=0.0005 t=76495
fan 	范	c=1 d=0.0005 t=76495
fan 	飯	c=5 d=0.0005 t=76495
fan 	饭	c=1 d=1.9025 t=3923
fan ban 	帆板	c=1 d=0.0005 t=76495
fan bu fan fa 	犯不犯法	c=1 d=0.0005 t=76495
fan bu shen fan 	煩不甚煩	c=1 d=0.0005 t=76495
fan dan 	反弹	c=0 d=0.0033 t=3923
fan dao 	反倒	c=1 d=0.0005 t=76495
fan de 	反的	c=1 d=0.2241 t=76495
fan de sa 	范德薩	c=1 d=0.4950 t=76495
fan de sa fa da shi 	范德薩發達是	c=1 d=4.9751 t=76495
fan de sa fa sheng de 	范德薩發生地	c=3 d=0.0006 t=76495
fan de sa fa song 	范德薩發送	c=1 d=0.0005 t=76495
fan de sa fa song de fang dao sha fa dian 	范德薩發送的放到沙發墊	c=1 d=0.0005 t=76495
fan de sa fa song dian feng shan 	范德薩發送電風扇	c=1 d=0.0005 t=76495
fan de sa fan de sa fa sheng de 	范德薩范德薩發生地	c=1 d=0.0005 t=76495
fan de sa fei 	范德薩非	c=1 d=0.0005 t=76495
fan de sa fei da su du fa shao deng fei 	范德薩非打速讀法稍等非	c=1 d=0.0005 t=76495
fan de sa fei su du fa shao deng fei 	范德薩非速讀法稍等非	c=1 d=0.0005 t=76495
fan de sa kuai ji fa na kuan shi de nuo fu ke shi de ne 	范德薩會計法哪款是的諾福克是的呢	c=1 d=0.0005 t=76495
fan de sa nan de ke fu na shi de 	范德薩难得克服那时的	c=1 d=0.0005 t=76495
fan dui 	反對	c=2 d=0.0005 t=76495
fan dui dang 	反對黨	c=0 d=0.0005 t=76495
fan dui dang shou fu shi de 	反對黨收復失地	c=1 d=0.0005 t=76495
fan dui fan dui fa 	反对反对法	c=0 d=0.0005 t=76495
fan dui fan dui fa de 	反对反对法的	c=2 d=0.0005 t=76495
fan dui pai 	反對派	c=1 d=0.0005 t=76495
fan er sai 	凡爾賽	c=1 d=0.0005 t=76495
fan fa 	犯法	c=0 d=0.0005 t=76495
fan fan fu fu 	反反覆覆	c=17 d=0.0097 t=76495
fan gan 	反感	c=2 d=0.0005 t=76495
fan gei 	反給	c=2 d=0.0315 t=76495
fan gei ni 	反給你	c=2 d=0.1408 t=76495
fan gei wo 	反給我	c=2 d=0.3165 t=76495
fan guo lai 	反過來	c=1 d=0.0005 t=76495
fan hua 	反華	c=1 d=0.0005 t=76495
fan hui 	返回	c=169 d=2.8799 t=40209
fan hui kong 	返回空	c=1 d=0.0005 t=76495
fan hui zhi 	返回值	c=10 d=0.0007 t=40209
fan jie 	反解	c=1 d=0.0005 t=76495
fan jie xi 	泛解析	c=1 d=0.0005 t=76495
fan ju 	飯局	c=1 d=0.0005 t=76495
fan kui 	反饋	c=4 d=0.2362 t=76495
fan kui 	反馈	c=1 d=0.0088 t=3923
fan kui o 	反饋哦	c=1 d=2.3737 t=76495
fan lan 	氾濫	c=1 d=0.0005 t=76495
fan lao 	烦劳	c=1 d=1.4669 t=3923
fan le 	反了	c=2 d=0.0005 t=76495
fan le 	煩了	c=1 d=0.0005 t=76495
fan le 	翻了	c=1 d=0.0005 t=76495
fan mai 	販賣	c=1 d=0.0005 t=76495
fan nao 	煩惱	c=1 d=0.0005 t=76495
fan pai 	反派	c=1 d=0.0005 t=76495
fan qian 	飯前	c=1 d=0.0005 t=76495
fan qian 	饭钱	c=1 d=0.0395 t=3923
fan qiang 	翻牆	c=1 d=0.0005 t=76495
fan qie 	番茄	c=1 d=0.0005 t=76495
fan sai fu 	反塞弗	c=1 d=0.0340 t=3923
fan she 	反射	c=9 d=0.0072 t=76495
fan shi 	凡是	c=1 d=0.0005 t=76495
fan shi 	範式	c=1 d=0.0005 t=76495
fan shu 	番薯	c=1 d=0.0005 t=76495
fan suo 	繁瑣	c=1 d=0.0005 t=76495
fan tan fu 	反貪腐	c=0 d=0.0005 t=76495
fan ti 	繁體	c=2 d=0.0005 t=76495
fan ti zi 	繁體字	c=1 d=0.0005 t=76495
fan wei 	範圍	c=6 d=2.0843 t=76495
fan wei 	范围	c=2 d=0.9604 t=3923
fan wei nei 	範圍內	c=1 d=0.0005 t=76495
fan wo 	煩我	c=1 d=0.0005 t=76495
fan xiang 	反向	c=3 d=0.0005 t=76495
fan xiang 	反相	c=1 d=0.0068 t=76495
fan xiang dai li 	反向代理	c=1 d=0.0070 t=76495
fan xu lie hua 	反序列化	c=2 d=0.0005 t=76495
fan yi 	翻譯	c=1 d=0.0187 t=76495
fan yi ci 	反義詞	c=2 d=0.0005 t=76495
fan yi de 	翻譯的	c=1 d=0.1881 t=76495
fan ying 	反映	c=1 d=0.0005 t=76495
fan zheng 	反正	c=9 d=2.5401 t=40209
fan zhuan 	反轉	c=2 d=0.0005 t=76495
fan zi 	販子	c=2 d=0.0005 t=76495
fang 	房	c=0 d=0.0005 t=76495
fang 	放	c=62 d=14.6480 t=40209
fang 	方	c=1 d=0.0005 t=76495
fang 	防	c=1 d=0.0005 t=76495
fang an 	方案	c=19 d=2.5831 t=40209
fang bian 	方便	c=11 d=0.3140 t=76495
fang bu tong 	放不同	c=1 d=0.0008 t=3923
fang cheng 	放成	c=1 d=0.0005 t=76495
fang chu 	放出	c=1 d=0.0005 t=76495
fang chu lai 	放出來	c=2 d=0.0005 t=76495
fang chu qu 	放出去	c=3 d=0.0005 t=76495
fang da 	放大	c=1 d=0.0005 t=76495
fang da 	放達	c=2 d=0.0005 t=76495
fang da shi 	放達是	c=1 d=0.0005 t=76495
fang dan 	放單	c=1 d=0.0005 t=76495
fang dao 	放到	c=13 d=0.0124 t=76495
fang dao 	防盜	c=1 d=0.0005 t=76495
fang dao fan dui fan dui fa 	放到反对反对法	c=1 d=0.0005 t=76495
fang dao sha fa dian 	放到沙發墊	c=1 d=0.0019 t=76495
fang dao wei shi 	防盗卫士	c=0 d=0.0005 t=76495
fang dao wei shi dian feng shan 	防盗卫士電風扇	c=1 d=0.0005 t=76495
fang de 	放的	c=1 d=0.0046 t=3923
fang fa 	方法	c=45 d=3.1467 t=40209
fang fa 	訪法	c=1 d=0.0005 t=76495
fang fa ming 	方法名	c=1 d=0.0005 t=76495
fang fa qian 	方法前	c=1 d=0.0775 t=3923
fang fa shi 	方法时	c=1 d=0.0888 t=3923
fang fan 	防範	c=1 d=0.0005 t=76495
fang fang fang 	方芳芳	c=6 d=0.0014 t=76495
fang fei 	放飛	c=0 d=0.0005 t=76495
fang fei zi wo 	放飛自我	c=1 d=0.0005 t=76495
fang ge 	放個	c=0 d=0.0012 t=76495
fang ge jia 	放個假	c=1 d=0.0123 t=76495
fang gui zhen 	方貴震	c=1 d=0.0005 t=76495
fang huo 	放火	c=1 d=2.0739 t=76495
fang huo qiang 	防火牆	c=3 d=0.0005 t=76495
fang jia 	房價	c=3 d=0.0005 t=76495
fang jia 	放假	c=3 d=0.0051 t=40209
fang jian 	房間	c=0 d=0.0198 t=76495
fang jian de 	房間的	c=1 d=0.1988 t=76495
fang kai 	放開	c=4 d=0.0005 t=76495
fang kuai 	方塊	c=1 d=1.2769 t=76495
fang kuan 	放寬	c=3 d=0.0005 t=76495
fang la 	放辣	c=1 d=0.0005 t=76495
fang le 	放了	c=2 d=1.7305 t=40209
fang na 	放那	c=1 d=0.0005 t=76495
fang ni 	放你	c=1 d=0.0005 t=76495
fang pi 	放屁	c=2 d=0.0005 t=76495
fang qi 	放弃	c=1 d=1.2010 t=3923
fang qi 	放棄	c=4 d=0.0005 t=76495
fang sheng da ku 	放聲大哭	c=0 d=0.0005 t=76495
fang sheng da ku lu fang ji lu ka si de niu fen lan 	放聲大哭錄放機盧卡斯的紐芬蘭	c=1 d=0.0005 t=76495
fang shi 	方式	c=48 d=1.1470 t=40209
fang shi de 	方式的	c=1 d=0.0005 t=76495
fang shi de fan su du fa shao deng fan 	方式的飯速讀法稍等飯	c=1 d=0.0005 t=76495
fang shui 	放水	c=2 d=0.0005 t=76495
fang song 	放鬆	c=2 d=0.0124 t=76495
fang wang 	防忘	c=1 d=0.0005 t=76495
fang wen 	訪問	c=27 d=9.1693 t=76495
fang wen 	访问	c=1 d=0.0083 t=3923
fang wen dao 	訪問到	c=1 d=0.0005 t=76495
fang wo zhe 	放我這	c=1 d=0.0005 t=76495
fang xia 	放下	c=3 d=5.9107 t=3923
fang xiang 	方向	c=3 d=0.0009 t=40209
fang xiang 	芳香	c=1 d=0.0005 t=76495
fang xin 	放心	c=5 d=4.4125 t=76495
fang xing 	放行	c=1 d=0.0005 t=76495
fang xing 	方行	c=3 d=0.0005 t=76495
fang yi kuai 	放一塊	c=1 d=0.0005 t=76495
fang yi xia 	放一下	c=1 d=0.0005 t=76495
fang you le 	房有了	c=1 d=0.0005 t=76495
fang yu 	防御	c=1 d=0.0002 t=3923
fang zai 	放在	c=2 d=0.0005 t=76495
fang zai 	防災	c=1 d=0.0005 t=76495
fang zhe 	放着	c=3 d=0.0005 t=76495
fang zhe li 	放这里	c=5 d=0.2965 t=76495
fang zhi 	放置	c=6 d=1.9122 t=40209
fang zhi 	防止	c=14 d=1.3094 t=40209
fang zhou 	方舟	c=1 d=0.0459 t=3923
fang zong 	放縱	c=1 d=0.0005 t=76495
fei 	廢	c=2 d=0.0005 t=76495
fei 	費	c=0 d=0.0005 t=76495
fei 	非	c=41 d=0.1022 t=40209
fei chang 	肥腸	c=1 d=0.0005 t=76495
fei chang da 	非常大	c=1 d=0.0005 t=76495
fei chang duo 	非常多	c=1 d=0.0005 t=76495
fei chi jiu hua 	非持久化	c=1 d=0.0005 t=76495
fei chu 	廢除	c=1 d=0.0005 t=76495
fei dao chu 	非導出	c=1 d=0.0005 t=76495
fei de 	废的	c=1 d=0.0005 t=76495
fei di nan 	斐迪南	c=0 d=0.0005 t=76495
fei fa 	非法	c=3 d=0.0162 t=40209
fei guan li yuan 	非管理員	c=1 d=0.0005 t=76495
fei hua 	廢話	c=1 d=0.0005 t=76495
fei kong 	非空	c=2 d=0.0005 t=76495
fei le 	廢了	c=5 d=0.0005 t=76495
fei le 	肥了	c=0 d=0.0005 t=76495
fei li 	費力	c=1 d=3.2363 t=76495
fei ling 	非零	c=1 d=0.0005 t=76495
fei lu 	飛盧	c=1 d=0.0016 t=76495
fei lv bin 	菲律賓	c=1 d=0.0005 t=76495
fei qi 	廢棄	c=4 d=0.0005 t=76495
fei ren 	廢人	c=1 d=0.0005 t=76495
fei sheng 	飛昇	c=1 d=0.0005 t=76495
