# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	76495
#@/user_id	rime-windows
a 	啊	c=34 d=0.00152301 t=76495
gen zong 	跟蹤	c=4 d=1.29366e-20 t=76495
gen zong guo 	跟蹤過	c=1 d=5.22706e-104 t=76495
geng 	更	c=7 d=0.915303 t=76495
geng 	梗	c=1 d=1.17208e-15 t=76495
geng bu 	更不	c=0 d=4.81893e-31 t=76495
geng bu guo lai 	更不過來	c=1 d=4.84309e-30 t=76495
geng da de 	更大的	c=0 d=1.82995e-22 t=76495
geng duo 	更多	c=1 d=9.52433e-104 t=76495
geng gai 	更改	c=5 d=0.00012341 t=76495
geng gai 	更該	c=1 d=1.89398e-102 t=76495
geng hao 	更好	c=1 d=3.96801e-09 t=76495
geng hao yong 	更好用	c=1 d=1.73456e-97 t=76495
geng huan 	更換	c=3 d=1.12826e-08 t=76495
geng jia 	更加	c=8 d=1.28468e-06 t=76495
geng man 	更慢	c=1 d=8.07339e-42 t=76495
geng shang qu 	更上去	c=1 d=1.51772e-26 t=76495
geng xin 	更新	c=221 d=1.33395 t=76495
geng xin yi xia 	更新一下	c=1 d=5.60702e-106 t=76495
geng zhi 	耿直	c=1 d=6.88086e-44 t=76495
gong 	供	c=2 d=0.307279 t=76495
gong 	共	c=3 d=0.0024913 t=76495
gong 	拱	c=1 d=1.68839e-15 t=76495
gong an ju 	公安局	c=1 d=1.47237e-22 t=76495
gong cheng 	工程	c=1 d=2.93349e-14 t=76495
gong cun 	共存	c=5 d=0.362402 t=76495
gong e 	共軛	c=2 d=1.52626e-84 t=76495
gong fu 	工夫	c=1 d=3.47046e-21 t=76495
gong gao 	公告	c=39 d=2.8044e-14 t=76495
gong gong 	公共	c=15 d=0.520325 t=76495
gong gong chang suo 	公共場所	c=0 d=5.16169e-104 t=76495
gong gong chang suo da fu du shi 	公共場所大幅度是	c=1 d=5.18757e-103 t=76495
gong gong gei 	公共給	c=1 d=4.4279e-05 t=76495
gong ji jin 	公積金	c=4 d=2.01061e-11 t=76495
gong ju 	工具	c=25 d=0.395777 t=76495
gong ju bao 	工具包	c=1 d=6.89119e-91 t=76495
gong ju hu 	工具胡	c=1 d=6.36157e-62 t=76495
gong ju lian 	工具鏈	c=8 d=0.136188 t=76495
gong ju xiang 	工具箱	c=1 d=1.99726e-109 t=76495
gong kai 	公開	c=1 d=1.87921e-10 t=76495
gong ke 	攻克	c=1 d=1.77086e-76 t=76495
gong liang 	公糧	c=1 d=6.46143e-10 t=76495
gong lue 	攻略	c=1 d=0.00238156 t=76495
gong mian 	共勉	c=1 d=4.26733e-41 t=76495
gong neng 	功能	c=35 d=0.301221 t=76495
gong ping 	公平	c=1 d=2.00175e-106 t=76495
gong si 	公司	c=35 d=0.512715 t=76495
gong si lai 	公司來	c=1 d=1.374e-32 t=76495
gong sun zan 	公孫瓚	c=1 d=0.384812 t=76495
gong tan 	公攤	c=1 d=5.19619e-05 t=76495
gong wang 	公網	c=1 d=8.35927e-69 t=76495
gong wei 	工位	c=1 d=2.51177e-41 t=76495
gong wu yuan 	公務員	c=1 d=6.92994e-10 t=76495
gong xiang 	共享	c=4 d=8.71905e-06 t=76495
gong xiang zhe 	共享者	c=1 d=1.35157e-103 t=76495
gong yao 	公鑰	c=2 d=0.0100017 t=76495
gong ying shang 	供應商	c=2 d=6.1209e-08 t=76495
gong yong 	共用	c=4 d=3.0359e-06 t=76495
gong zhi 	公知	c=1 d=3.44775e-32 t=76495
gong zhong hao 	公众号	c=35 d=0.0942482 t=76495
gong zi 	工資	c=5 d=2.09159e-05 t=76495
gong zi gao 	工資高	c=1 d=3.71766e-07 t=76495
gong zuo 	工作	c=22 d=0.621885 t=76495
gong zuo le 	工作了	c=1 d=7.54217e-06 t=76495
gong zuo liang nian 	工作兩年	c=1 d=1.7201e-28 t=76495
gong zuo liu 	工作流	c=5 d=1.7207e-91 t=76495
gong zuo ri 	工作日	c=1 d=3.43593e-21 t=76495
gou 	夠	c=9 d=0.0581378 t=76495
gou 	苟	c=0 d=0.0289384 t=76495
gou bing 	詬病	c=1 d=8.54786e-08 t=76495
gou cheng 	構成	c=1 d=1.10056e-39 t=76495
gou gou 	狗狗	c=1 d=2.30913e-22 t=76495
gou hen 	夠狠	c=1 d=8.88979e-87 t=76495
gou jian 	構建	c=27 d=0.00680495 t=76495
gou jian qi 	構建器	c=4 d=0.00821995 t=76495
gou le 	夠了	c=1 d=3.7835e-37 t=76495
gou mai 	購買	c=1 d=8.26149e-107 t=76495
gou qiang 	夠嗆	c=1 d=1.36338e-29 t=76495
gou ru 	購入	c=1 d=0.000243596 t=76495
gou si 	構思	c=1 d=2.50231e-26 t=76495
gou tong 	溝通	c=9 d=0.0299047 t=76495
gou tong guo 	夠通過	c=2 d=1.47287e-26 t=76495
gou tong xia 	溝通下	c=1 d=7.82971e-05 t=76495
gou xiang 	構想	c=1 d=4.64799e-105 t=76495
gou xuan 	勾選	c=11 d=2.5294e-08 t=76495
gou yan 	溝沿	c=1 d=7.86201e-24 t=76495
gou yan 	狗眼	c=1 d=8.02083e-24 t=76495
gou yi dian 	苟一點	c=1 d=0.290835 t=76495
gou zao 	構造	c=3 d=0.562705 t=76495
gou zei 	狗贼	c=1 d=7.43242e-10 t=76495
gou zi 	鉤子	c=9 d=8.99071e-14 t=76495
gu 	股	c=3 d=0.00061327 t=76495
gu 	骨	c=1 d=1.21686e-06 t=76495
gu dai 	古代	c=2 d=4.65419e-24 t=76495
gu ding 	固定	c=5 d=0.0242239 t=76495
gu du 	孤獨	c=1 d=0.144424 t=76495
gu du gan 	孤獨感	c=1 d=5.38293e-38 t=76495
gu ge 	谷歌	c=1 d=0.70822 t=76495
gu guai 	古怪	c=1 d=2.77461e-06 t=76495
gu ji 	估計	c=46 d=0.599624 t=76495
gu ji jiu shi 	估计就是	c=1 d=1.53873e-70 t=76495
gu ji shi 	估計是	c=1 d=1.15675e-66 t=76495
gu ling ling 	孤零零	c=1 d=5.98887e-87 t=76495
gu ming si yi 	顧名思義	c=1 d=5.20559e-85 t=76495
gu mo 	估摸	c=1 d=5.89106e-11 t=76495
gu niu 	牯牛	c=0 d=4.63156e-35 t=76495
gu shi 	古詩	c=1 d=7.8559e-103 t=76495
gu shi 	故事	c=1 d=3.51549e-55 t=76495
gu tai 	固態	c=1 d=4.4846e-37 t=76495
gu tou 	骨頭	c=1 d=1.08384e-06 t=76495
gu yi 	故意	c=1 d=1.7649e-07 t=76495
gu zhang 	故障	c=4 d=9.74283e-18 t=76495
gu zhang nan ming 	孤掌難鳴	c=1 d=1.93078e-05 t=76495
gu zi 	骨子	c=1 d=2.74832e-41 t=76495
gua 	掛	c=6 d=0.767329 t=76495
gua 	瓜	c=1 d=7.91783e-19 t=76495
gua bi 	挂壁	c=1 d=1.46568e-86 t=76495
gua diao 	掛掉	c=1 d=1.88081e-20 t=76495
gua guo 	掛過	c=1 d=3.41519e-38 t=76495
gua hao 	掛號	c=1 d=0.00355287 t=76495
gua le 	掛了	c=13 d=0.0968812 t=76495
gua qi 	掛起	c=1 d=8.92096e-40 t=76495
gua zai 	掛載	c=2 d=0.216572 t=76495
gua zhe 	掛着	c=1 d=6.14944e-16 t=76495
guai 	怪	c=9 d=0.104932 t=76495
guai guai 	乖乖	c=3 d=4.24543e-05 t=76495
guai guai 	怪怪	c=4 d=3.13593e-05 t=76495
guai wo 	怪我	c=2 d=0.0403566 t=76495
guai wu 	怪物	c=1 d=2.84485e-06 t=76495
guan 	灌	c=1 d=4.7203e-22 t=76495
guan 	管	c=6 d=2.46128e-08 t=76495
guan 	關	c=4 d=0.66034 t=76495
guan 	館	c=2 d=7.5996e-07 t=76495
guan bi 	關閉	c=39 d=4.0569e-06 t=76495
guan bu liao 	管不了	c=1 d=3.337e-89 t=76495
guan ce 	觀測	c=5 d=0.0095159 t=76495
guan cha 	觀察	c=10 d=5.19618e-06 t=76495
guan cuo 	關錯	c=1 d=1.40941e-96 t=76495
guan dao 	管道	c=2 d=3.14212e-78 t=76495
guan diao 	關掉	c=1 d=0.913931 t=76495
guan fang 	官方	c=8 d=1.40369e-06 t=76495
guan fang 	關防	c=1 d=2.47809e-88 t=76495
guan ji 	關機	c=1 d=6.03897e-38 t=76495
guan jian 	關鍵	c=8 d=1.33711e-06 t=76495
guan jian ci 	關鍵詞	c=4 d=0.869358 t=76495
guan le 	關了	c=3 d=0.00856561 t=76495
guan li 	慣例	c=1 d=1.04266e-109 t=76495
guan li 	管理	c=18 d=0.00364281 t=76495
guan li da shi 	管理大師	c=1 d=1.65035e-41 t=76495
guan li qi 	管理器	c=1 d=2.03075e-40 t=76495
guan li shang 	管理上	c=1 d=2.88658e-89 t=76495
guan li yuan 	管理員	c=16 d=2.43637e-06 t=76495
guan lian 	關聯	c=6 d=0.0911727 t=76495
guan lian biao 	關聯表	c=1 d=1.23175e-11 t=76495
guan ni 	管你	c=1 d=3.78748e-20 t=76495
guan ta 	管他	c=3 d=0.657047 t=76495
guan tou 	關頭	c=1 d=1.67239e-50 t=76495
guan wang 	官網	c=4 d=3.35723e-06 t=76495
guan wang 	觀望	c=1 d=2.49933e-12 t=76495
guan wo 	关我	c=1 d=7.36097e-14 t=76495
guan xi 	關係	c=50 d=0.641138 t=76495
guan xi biao 	关系表	c=1 d=4.44163e-12 t=76495
guan xin 	關心	c=5 d=0.115325 t=76495
guan yi xia 	關一下	c=1 d=2.75411e-07 t=76495
guan ying 	觀影	c=0 d=1.54575e-07 t=76495
guan ying tu 	觀影土	c=1 d=1.5535e-06 t=76495
guan yu 	關於	c=1 d=3.68608e-83 t=76495
guan zhao 	關照	c=1 d=4.5696e-52 t=76495
guan zhu 	關注	c=59 d=0.535261 t=76495
guan zhu guo 	關注過	c=1 d=5.14924e-104 t=76495
guan zhu qun 	關注羣	c=1 d=2.43821e-103 t=76495
guang 	廣	c=1 d=3.07436e-07 t=76495
guang chang 	廣場	c=1 d=2.21023e-07 t=76495
guang dong 	廣東	c=4 d=2.54193e-05 t=76495
guang dong sheng 	廣東省	c=1 d=0.000120966 t=76495
guang gao 	廣告	c=6 d=0.000605563 t=76495
guang ming zheng da 	光明正大	c=1 d=1.12039e-102 t=76495
guang tou 	光頭	c=1 d=3.00775e-14 t=76495
guang xi 	廣西	c=1 d=2.78132e-05 t=76495
guang xi zhuang zu 	廣西壯族	c=1 d=2.55468e-05 t=76495
guang zhou 	廣州	c=18 d=1.01495 t=76495
guang zhou di tie 	廣州地鐵	c=1 d=3.175e-33 t=76495
guang zhou shi 	廣州市	c=1 d=0.000121572 t=76495
gui 	歸	c=3 d=9.24846e-23 t=76495
gui 	規	c=1 d=7.06083e-83 t=76495
gui 	貴	c=3 d=0.0082276 t=76495
gui 	鬼	c=3 d=3.57128e-05 t=76495
gui cai 	鬼才	c=0 d=6.22394e-41 t=76495
gui dang 	歸檔	c=2 d=6.65007e-25 t=76495
gui ding 	規定	c=1 d=9.71839e-106 t=76495
gui fan 	規範	c=11 d=9.74281e-18 t=76495
gui fan hua 	規範化	c=1 d=3.03872e-105 t=76495
gui fan xia 	規範下	c=1 d=8.25868e-103 t=76495
gui gen dao di 	歸根到底	c=1 d=1.28023e-24 t=76495
gui gen jie di 	歸根結蒂	c=1 d=3.21019e-45 t=76495
gui huo 	鬼火	c=1 d=5.79804e-59 t=76495
gui ju 	規矩	c=2 d=1.04667e-66 t=76495
gui le 	貴了	c=1 d=7.25238e-45 t=76495
gui ling 	歸零	c=1 d=2.09986e-22 t=76495
gui pian 	鬼片	c=1 d=3.46574e-05 t=76495
gui shu 	歸屬	c=2 d=9.06533e-23 t=76495
gui shu zhe 	歸屬者	c=1 d=1.96551e-97 t=76495
gui ze 	規則	c=25 d=0.387092 t=76495
gui zhou 	貴州	c=1 d=2.60628e-05 t=76495
gun 	滾	c=1 d=4.73478e-58 t=76495
gun bang 	棍棒	c=0 d=2.54982e-13 t=76495
gun bang ci hou 	棍棒伺候	c=1 d=2.5626e-12 t=76495
gun ji 	滾級	c=1 d=0.164474 t=76495
guo 	蝸	c=1 d=1.11128e-06 t=76495
guo 	過	c=85 d=1.11362 t=76495
guo 	鍋	c=7 d=0.0862936 t=76495
guo bu liao 	過不了	c=2 d=3.98303e-24 t=76495
guo chang 	過長	c=1 d=9.04933e-61 t=76495
guo cheng 	過程	c=8 d=2.3002e-06 t=76495
guo de 	過得	c=1 d=5.47173e-54 t=76495
guo di 	過低	c=1 d=0.0411719 t=76495
guo dong 	果凍	c=1 d=2.26866e-108 t=76495
guo dong 	過冬	c=1 d=7.92726e-33 t=76495
guo du 	過渡	c=1 d=8.04296e-27 t=76495
guo duan 	果斷	c=2 d=0.147342 t=76495
guo duan 	過段	c=1 d=0.14808 t=76495
guo duan shi jian 	过段时间	c=1 d=0.156453 t=76495
guo duo 	過多	c=2 d=1.94608e-39 t=76495
guo fen 	過分	c=2 d=2.93539e-51 t=76495
guo guan 	過關	c=1 d=5.80477e-102 t=76495
guo guo zhao 	過過招	c=1 d=8.42633e-16 t=76495
guo hou 	過後	c=1 d=6.70548e-05 t=76495
guo ji 	國際	c=1 d=0.0695994 t=76495
guo ji 	過激	c=1 d=1.53559e-46 t=76495
guo ji hua 	國際化	c=1 d=1.55145e-108 t=76495
guo jia 	國家	c=18 d=0.00128019 t=76495
guo la neng 	過啦能	c=1 d=2.10279e-09 t=76495
guo lai 	過來	c=60 d=1.56844 t=76495
guo le 	過了	c=11 d=0.0782885 t=76495
guo le ma 	过了吗	c=1 d=2.90955e-94 t=76495
guo lu 	鍋爐	c=0 d=0.0275271 t=76495
guo lv 	過濾	c=94 d=1.20778 t=76495
guo lv qi 	過濾器	c=2 d=1.31613e-106 t=76495
guo lv xiang 	過濾項	c=1 d=2.31629e-29 t=76495
guo min yuan 	過敏原	c=1 d=1.61482e-79 t=76495
guo nei 	國內	c=1 d=3.41345e-32 t=76495
guo nian 	過年	c=1 d=2.9357e-111 t=76495
guo qi 	國企	c=1 d=1.41768e-106 t=76495
guo qi 	過期	c=33 d=0.00137404 t=76495
guo qi le 	过期了	c=1 d=2.91907e-103 t=76495
guo qing 	國慶	c=1 d=2.06875e-111 t=76495
guo qu 	過去	c=5 d=5.83046e-07 t=76495
guo ri zi 	過日子	c=1 d=8.19288e-09 t=76495
guo ta 	過他	c=1 d=1.18406e-17 t=76495
guo tiao 	菓條	c=1 d=8.10998e-07 t=76495
guo wai 	國外	c=1 d=1.51798e-28 t=76495
guo xie 	裹挾	c=5 d=0.0115624 t=76495
guo yi 	过一	c=0 d=8.42346e-13 t=76495
guo yi bian 	过一遍	c=1 d=1.63593e-26 t=76495
guo yi xia 	过一下	c=1 d=8.46569e-12 t=76495
guo zhao 	過招	c=0 d=8.3843e-17 t=76495
guo zhen 	果真	c=2 d=1.69156e-37 t=76495
ha 	哈	c=12 d=0.0829116 t=76495
ha bi 	哈比	c=1 d=7.28648e-12 t=76495
ha fo 	哈佛	c=1 d=2.32031e-20 t=76495
ha ha 	哈哈	c=50 d=1.23448 t=76495
ha ha ha 	哈哈哈	c=35 d=0.970446 t=76495
ha ha ha ha ha 	哈哈哈哈哈	c=1 d=9.60105e-22 t=76495
ha ha ha ha ha ha 	哈哈哈哈哈哈	c=0 d=2.42448e-67 t=76495
ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈	c=0 d=2.42448e-67 t=76495
ha ha ha ha ha ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈哈哈哈哈哈	c=1 d=2.43663e-66 t=76495
ha xi 	哈希	c=3 d=7.81217e-08 t=76495
hai 	害	c=1 d=2.16478e-86 t=76495
hai 	還	c=65 d=0.333846 t=76495
hai ba 	還把	c=1 d=2.387e-18 t=76495
hai ba ta 	還把他	c=1 d=2.39635e-17 t=76495
hai bao cuo 	還報錯	c=1 d=0.00980366 t=76495
hai bu 	還不	c=2 d=0.0180866 t=76495
hai bu hui 	還不會	c=1 d=2.94399e-56 t=76495
hai bu neng 	還不能	c=1 d=4.53724e-86 t=76495
hai bu rang shuo 	還不讓說	c=1 d=3.3918e-16 t=76495
hai bu shu xi 	還不熟悉	c=1 d=0.181772 t=76495
hai bu xing 	還不行	c=3 d=6.40804e-30 t=76495
hai bu zhi dao 	還不知道	c=2 d=0.00932553 t=76495
hai cha 	還差	c=1 d=8.06314e-80 t=76495
hai cha yi dian 	還差一點	c=1 d=1.27026e-79 t=76495
hai cun zai 	還存在	c=1 d=0.0132999 t=76495
hai dei 	還得	c=7 d=0.0001441 t=76495
hai hao 	還好	c=11 d=0.589441 t=76495
hai hao ba 	还好吧	c=1 d=1.67911e-09 t=76495
hai hao ya 	還好呀	c=1 d=7.29842e-90 t=76495
hai ke yi 	還可以	c=5 d=0.621885 t=76495
hai mei 	還沒	c=31 d=0.778349 t=76495
hai mei ce 	還沒測	c=1 d=2.42036e-46 t=76495
hai mei chu 	還沒出	c=1 d=2.84089e-19 t=76495
hai mei gai 	還沒改	c=1 d=1.50903e-76 t=76495
hai mei hao 	還沒好	c=1 d=2.8853e-25 t=76495
hai mei he 	還沒合	c=1 d=1.00604e-12 t=76495
hai mei he 	還沒和	c=1 d=1.1518e-45 t=76495
hai mei kan 	还没看	c=1 d=7.27362e-50 t=76495
hai mei ne 	還沒呢	c=1 d=1.24965e-63 t=76495
hai mei shi xian 	還沒實現	c=1 d=2.29403e-33 t=76495
hai mei you 	還沒有	c=7 d=1.60605e-15 t=76495
hai mei zuo 	還沒做	c=2 d=1.75062e-29 t=76495
hai nan sheng 	海南省	c=1 d=2.58035e-05 t=76495
hai neng 	還能	c=3 d=0.0865022 t=76495
hai ni 	海尼	c=1 d=1.84739e-15 t=76495
hai pa 	害怕	c=1 d=4.20321e-10 t=76495
hai pa 	還怕	c=1 d=6.71397e-108 t=76495
hai shi 	還是	c=174 d=1.33414 t=76495
hai shi shuo 	还是说	c=1 d=3.04004e-22 t=76495
hai shuo 	還說	c=2 d=0.718924 t=76495
hai suan hao 	还算好	c=1 d=1.51273e-47 t=76495
hai tong 	孩童	c=2 d=9.57832e-15 t=76495
hai tong 	還痛	c=1 d=3.80453e-14 t=76495
hai wei 	還未	c=1 d=3.20081e-40 t=76495
hai xian 	海鮮	c=1 d=9.63737e-37 t=76495
hai xiang zhe 	还想着	c=2 d=5.39796e-12 t=76495
hai xing 	還行	c=4 d=0.000370744 t=76495
hai xing ba 	还行吧	c=2 d=4.12603e-19 t=76495
hai xu yao 	还需要	c=1 d=2.17526e-84 t=76495
hai yao 	還要	c=9 d=0.231078 t=76495
hai yi wei 	还以为	c=1 d=1.41402e-105 t=76495
hai you 	還有	c=56 d=0.578329 t=76495
hai you dian 	還有點	c=1 d=5.4984e-23 t=76495
hai you mei you 	還有沒有	c=1 d=3.5449e-06 t=76495
hai you yi ge 	还有一个	c=1 d=9.04654e-28 t=76495
hai zai 	還在	c=22 d=0.0841767 t=76495
hai zai ma 	还在吗	c=1 d=2.28414e-41 t=76495
hai zi 	孩子	c=1 d=1.12631e-17 t=76495
han 	喊	c=1 d=3.1041e-32 t=76495
han 	憨	c=0 d=1.7221e-72 t=76495
han guo 	韓國	c=3 d=1.25924e-06 t=76495
han hua 	漢化	c=1 d=3.04202e-59 t=76495
han jun 	韓軍	c=2 d=1.51542e-29 t=76495
han liang 	含量	c=1 d=2.77697e-16 t=76495
han shi 	憾事	c=1 d=0.0015415 t=76495
han shi 	韓式	c=1 d=1.33711e-06 t=76495
han shu 	函數	c=42 d=0.474734 t=76495
han shu ming 	函數名	c=1 d=3.23308e-11 t=76495
han zi 	漢字	c=5 d=0.548812 t=76495
hang 	行	c=4 d=0.305746 t=76495
hang gao 	行高	c=2 d=4.98778e-103 t=76495
hang hang 	行行	c=0 d=3.08977e-08 t=76495
hang hang hang hang hao 	行行行行好	c=1 d=3.10525e-07 t=76495
hang hang hao 	行行好	c=0 d=3.08977e-08 t=76495
hang nei 	行內	c=1 d=1.6674e-103 t=76495
hang qing 	行情	c=1 d=9.00938e-09 t=76495
hang shu 	行數	c=7 d=1.34624e-08 t=76495
hang ye 	行業	c=3 d=0.0360595 t=76495
hang ye ming deng 	行業冥燈	c=1 d=0.362402 t=76495
hang zhou 	杭州	c=6 d=1.62177e-15 t=76495
hao 	好	c=180 d=1.00536 t=76495
hao 	薅	c=2 d=1.78265e-08 t=76495
hao 	號	c=96 d=0.601788 t=76495
hao ba 	好吧	c=13 d=6.49162e-06 t=76495
hao ba 	好把	c=1 d=3.95187e-108 t=76495
hao bang 	好棒	c=1 d=8.61734e-15 t=76495
hao bu 	毫不	c=1 d=2.25735e-108 t=76495
hao bu zai xian 	號不在線	c=1 d=3.87796e-33 t=76495
hao cheng 	號稱	c=3 d=0.360599 t=76495
hao chi 	好喫	c=3 d=0.0306556 t=76495
hao chou 	好醜	c=1 d=4.93336e-12 t=76495
hao chu 	好處	c=1 d=3.98167e-20 t=76495
hao dai 	好歹	c=4 d=0.147342 t=76495
hao de 	好得	c=8 d=4.84798e-10 t=76495
hao de 	好的	c=236 d=2.09809 t=76495
hao de duo 	好得多	c=1 d=5.78387e-89 t=76495
hao de hao de 	好的好的	c=1 d=1.00024e-91 t=76495
hao di fang 	好地方	c=1 d=1.45573e-06 t=76495
hao dian 	好點	c=4 d=6.29975e-06 t=76495
hao duo 	好多	c=2 d=0.0202419 t=76495
hao e xin 	好恶心	c=1 d=7.1988e-46 t=76495
hao fan 	好煩	c=1 d=6.98701e-77 t=76495
hao gai 	好改	c=2 d=0.0159229 t=76495
hao guo 	好過	c=1 d=0.67368 t=76495
hao hao 	好好	c=3 d=3.93149e-17 t=76495
hao hao hao 	好好好	c=3 d=2.69398e-12 t=76495
hao ji ge 	好幾個	c=6 d=0.0617291 t=76495
hao ji li 	好幾例	c=1 d=2.10888e-43 t=76495
hao ji zhong 	好幾種	c=1 d=1.45946e-36 t=76495
hao jia huo 	好傢伙	c=33 d=2.31641 t=76495
hao jian nan 	好艱難	c=1 d=2.43448e-85 t=76495
hao jiu jie 	好纠结	c=1 d=0.00597602 t=76495
hao kan 	好看	c=2 d=0.408608 t=76495
hao la 	好啦	c=1 d=5.75736e-35 t=76495
hao le 	好了	c=46 d=0.159617 t=76495
hao le 	薅了	c=2 d=1.71274e-07 t=76495
hao le ma 	好了嗎	c=2 d=2.74654e-05 t=76495
hao le mei 	好了沒	c=6 d=0.036334 t=76495
hao lei 	好嘞	c=3 d=3.42031e-69 t=76495
hao lo 	好咯	c=2 d=6.28991e-17 t=76495
hao lu 	好路	c=1 d=1.12742e-58 t=76495
hao ma 	號碼	c=4 d=1.57913e-22 t=76495
hao miao 	毫秒	c=15 d=0.664686 t=76495
hao miao 	浩淼	c=1 d=5.00914e-103 t=76495
hao miao shu 	毫秒數	c=2 d=1.27606e-15 t=76495
hao mo hu 	好模糊	c=1 d=6.35941e-58 t=76495
hao nan 	好難	c=0 d=2.20161e-109 t=76495
hao nan chi 	好難喫	c=1 d=2.21265e-108 t=76495
hao nan shou 	好難受	c=1 d=2.07932e-24 t=76495
hao nong 	好弄	c=1 d=6.56201e-74 t=76495
hao qi 	好奇	c=3 d=0.12938 t=76495
hao qi 	好氣	c=1 d=1.24884e-26 t=76495
hao qi lai 	好起來	c=1 d=7.59548e-30 t=76495
hao ren 	好人	c=1 d=2.70999e-111 t=76495
hao shi 	耗時	c=3 d=5.27349e-28 t=76495
hao shou 	好手	c=0 d=2.28003e-109 t=76495
hao shou yi 	好手藝	c=1 d=2.29146e-108 t=76495
hao shu xi 	好熟悉	c=1 d=0.00383884 t=76495
hao shu xi de 	好熟悉的	c=1 d=0.0385808 t=76495
hao shuo 	好說	c=1 d=1.19653e-52 t=76495
hao tu 	好圖	c=1 d=0.0739031 t=76495
hao wei kou 	好胃口	c=1 d=1.11453e-11 t=76495
hao wu 	毫無	c=4 d=0.0702988 t=76495
hao wu wei ju 	毫無畏懼	c=1 d=3.39711e-05 t=76495
hao xian 	號線	c=2 d=0.618783 t=76495
hao xiang 	好像	c=25 d=0.841804 t=76495
hao xiang 	好向	c=1 d=9.8307e-06 t=76495
hao xiang you wen ti 	好像有问题	c=1 d=0.0372538 t=76495
hao xiao zi 	好小子	c=1 d=2.02516e-37 t=76495
hao ya 	好呀	c=2 d=0.0932394 t=76495
hao yang de 	好樣的	c=1 d=1.5534e-64 t=76495
hao yang mao 	薅羊毛	c=3 d=1.79157e-07 t=76495
hao ye 	好耶	c=1 d=1.22857e-10 t=76495
hao yi dian 	好一点	c=5 d=0.238137 t=76495
hao yong 	好用	c=2 d=0.509156 t=76495
hao you 	好友	c=185 d=3.07144 t=76495
hao you guan xi 	好友關係	c=1 d=1.22116e-27 t=76495
hao you hua 	好優化	c=1 d=8.24911e-60 t=76495
hao you ming pian 	好友名片	c=1 d=9.85447e-05 t=76495
hao you ming zi 	好友名字	c=1 d=0.000152248 t=76495
hao yu 	浩宇	c=2 d=2.28422e-12 t=76495
hao yuan 	好遠	c=1 d=1.1756e-109 t=76495
hao zhu 	號主	c=1 d=1.80332e-25 t=76495
hao zi 	耗子	c=0 d=0.0111917 t=76495
hao zi wei zhi 	耗子尾汁	c=1 d=0.112478 t=76495
hao zou 	好走	c=2 d=2.5181e-58 t=76495
he 	何	c=4 d=3.74768e-98 t=76495
he 	合	c=22 d=8.63266e-06 t=76495
he 	和	c=310 d=1.6184 t=76495
he 	喝	c=4 d=0.0923116 t=76495
he ba 	河壩	c=1 d=6.08515e-10 t=76495
he bei 	河北	c=3 d=0.00263203 t=76495
he bei da xue 	河北大学	c=1 d=5.74701e-102 t=76495
he bi 	何必	c=2 d=5.16257e-105 t=76495
he bing 	合併	c=41 d=1.26719e-10 t=76495
he ce shi 	和測試	c=2 d=2.16381e-22 t=76495
he cha 	喝茶	c=1 d=6.45092e-79 t=76495
he dao 	合到	c=2 d=8.12959e-06 t=76495
he de 	喝的	c=1 d=5.04331e-36 t=76495
he dian 	喝點	c=0 d=8.32095e-16 t=76495
he fa 	合法	c=1 d=3.62884e-46 t=76495
he fa 	核發	c=3 d=1.41194e-29 t=76495
he fen 	河粉	c=1 d=6.44365e-07 t=76495
he gang 	鶴崗	c=1 d=2.70116e-102 t=76495
he ge 	和各	c=1 d=1.12826e-08 t=76495
he ge de 	合格的	c=1 d=2.38336e-100 t=76495
he he 	喝喝	c=3 d=0.000784864 t=76495
he le 	合了	c=3 d=9.85583e-36 t=76495
he le 	和了	c=1 d=4.44966e-92 t=76495
he li 	合理	c=6 d=7.84551e-05 t=76495
he li 	河裏	c=2 d=1.2987e-17 t=76495
he nan 	河南	c=1 d=2.50409e-05 t=76495
he ni 	和你	c=7 d=0.631284 t=76495
he ni 	和泥	c=1 d=1.32368e-93 t=76495
he ping yan bian 	和平演變	c=1 d=3.39642e-32 t=76495
he qun cao zuo 	和羣操作	c=1 d=9.61382e-67 t=76495
he ru 	合入	c=1 d=5.33646e-83 t=76495
he shang 	和尚	c=3 d=2.96596e-20 t=76495
he shang qu 	合上去	c=4 d=0.00782838 t=76495
he shi 	何時	c=2 d=4.11859e-06 t=76495
he shi 	合適	c=4 d=8.14925e-05 t=76495
he shou ji 	和手機	c=1 d=2.51983e-108 t=76495
he shui 	喝水	c=1 d=8.19707e-15 t=76495
he suan 	核酸	c=1 d=2.20595e-43 t=76495
he ta 	合沓	c=1 d=7.7518e-05 t=76495
he ta 	和他	c=12 d=0.172907 t=76495
he ta men 	和他们	c=1 d=1.68009e-104 t=76495
he ta shuo 	和他说	c=1 d=1.46368e-70 t=76495
he tang 	喝湯	c=1 d=6.77403e-07 t=76495
he tong 	合同	c=1 d=3.18681e-106 t=76495
he wan le 	合完了	c=1 d=1.06825e-12 t=76495
he wo 	和我	c=5 d=0.759572 t=76495
